Autor,Titel,Absatz,Fokalisierung,Kommentar
E. T. A. Hoffmann ,Die drei Diebe,"Der Spätherbst in Berlin hat gewöhnlich noch einige schöne Tage. Die Sonne tritt freundlich aus dem Gewölk hervor, und schnell verdampft die Nässe in der lauen Luft, welche durch die Strassen weht. Dann sieht man eine lange Reihe, buntgemischt – Elegants, Bürger mit der Hausfrau und den lieben Kleinen in Sonntagskleidern, Geistliche, Jüdinnen, Referendare, Freudenmädchen, Professoren, Putzmacherinnen, Tänzer, Offiziere u.s.w. durch die Linden, nach dem Thiergarten ziehen. Bald sind alle Plätze bey Klaus und Weber besetzt; der Mohrrüben-Kaffee dampft, die Elegants zünden ihre Zigaros an, man spricht, man streitet über Krieg und Frieden, über die Schuhe der Mad. Bethmann, ob sie neulich grau oder grün waren, über den geschlossenen Handelsstaat und böse Groschen u.s.w., bis alles in eine Arie aus Fanchon zerfliesst, womit eine verstimmte Harfe, ein paar nicht gestimmte Violinen, eine lungensüchtige Flöte und ein spasmatischer Fagott sich, und die Zuhörer quälen. Dicht an dem Geländer, welches den Weberschen Bezirk von der Heerstrasse trennt, stehen mehrere kleine, runde Tische und Gartenstühle; hier athmet man freye Luft, beobachtet die Kommenden und Gehenden, ist entfernt von dem kakophonischen Getöse jenes vermaledeyten Orchesters: da setze ich mich hin, und überlasse mich dem leichten Spiel meiner Phantasie, die mir befreundete Gestalten, zuführt, mit denen ich über Wissenschaft, über Kunst, über alles, was dem Menschen am theuersten seyn soll, spreche. Immer bunter und bunter wogt die Masse der Spaziergänger bey mir vorüber, aber nichts stört mich, nichts kann meine phantastische Gesellschaft verscheuchen. Nur das verwünschte Trio eines höchst niederträchtigen Walzers reisst mich aus der Traumwelt. Die kreischende Oberstimme der Violine und Flöte, und des Fagotts schnarrenden Grundbass allein höre ich; sie gehen auf und ab fest aneinander haltend in Oktaven, die das Ohr zerschneiden, und unwillkührlich, wie jemand, den ein brennender Schmerz ergreift, ruf’ ich aus: Welche rasende Musik! die abscheulichen Oktaven! – Neben mir murmelt es: Verwünschtes Schicksal! schon wieder ein Oktavenjäger!",intern,
E. T. A. Hoffmann ,Die drei Diebe,"Ich sehe auf und werde nun erst gewahr, dass, von mir unbemerkt, an demselben Tische ein Mann Platz genommen hat, der seinen Blick starr auf mich richtet und von dem nun mein Auge nicht wieder los kommen kann.",intern,
Heinrich von Kleist ,Der Findling,"Antonio Piachi, ein wohlhabender Güterhändler in Rom, war genötigt, in seinen Handelsgeschäften zuweilen große Reisen zu machen. Er pflegte dann gewöhnlich Elvire, seine junge Frau, unter dem Schutz ihrer Verwandten, daselbst zurückzulassen. Eine dieser Reisen führte ihn mit seinem Sohn Paolo, einem eilfjährigen Knaben, den ihm seine erste Frau geboren hatte, nach Ragusa. Es traf sich, daß hier eben eine pestartige Krankheit ausgebrochen war, welche die Stadt und Gegend umher in großes Schrecken setzte. Piachi, dem die Nachricht davon erst auf der Reise zu Ohren gekommen war, hielt in der Vorstadt an, um sich nach der Natur derselben zu erkundigen. Doch da er hörte, daß das Übel von Tage zu Tage bedenklicher werde, und daß man damit umgehe, die Tore zu sperren; so überwand die Sorge für seinen Sohn alle kaufmännischen Interessen: er nahm Pferde und reisete wieder ab.",intern,
Heinrich von Kleist ,Der Findling,"Er bemerkte, da er im Freien war, einen Knaben neben seinem Wagen, der, nach Art der Flehenden, die Hände zu ihm ausstreckte und in großer Gemütsbewegung zu sein schien. Piachi ließ halten; und auf die Frage: was er wolle? antwortete der Knabe in seiner Unschuld: er sei angesteckt; die Häscher verfolgten ihn, um ihn ins Krankenhaus zu bringen, wo sein Vater und seine Mutter schon gestorben wären; er bitte um aller Heiligen willen, ihn mitzunehmen, und nicht in der Stadt umkommen zu lassen. Dabei faßte er des Alten Hand, drückte und küßte sie und weinte darauf nieder. Piachi wollte in der ersten Regung des Entsetzens, den Jungen weit von sich schleudern; doch da dieser, in eben diesem Augenblick, seine Farbe veränderte und ohnmächtig auf den Boden niedersank, so regte sich des guten Alten Mitleid: er stieg mit seinem Sohn aus, legte den Jungen in den Wagen, und fuhr mit ihm fort, obschon er auf der Welt nicht wußte, was er mit demselben anfangen sollte.",intern,
Clemens Brentano,Die drei Nüsse,"Daniel Wilhelm Möller, Professor und Bibliothekar zu Altorf, lebte im Jahr 1665 in Kolmar als Hofmeister der drei Söhne des Bürgermeisters Maggi. Im Oktober dieses Jahres hatte der Bürgermeister einen reisenden Alchimisten zum Gaste, und als bei dem Nachtische der Abendmahlzeit unter anderm Obste auch welsche Nüsse auf die Tafel gesetzt wurden, sprach die Gesellschaft, mancherlei von den Eigenschaften dieser Frucht. Da aber die drei Zöglinge Möllers etwas unmäßig zu den Nüssen griffen und sie lustig nacheinander aufknackten, verwies Möller es ihnen freundlich und gab ihnen folgenden Vers aus der Schola Salernitana zu verdeutschen auf: »Unica nux prodest, nocet altera, tertia mors est.« – Da übersetzten sie: »Eine Nuß nützt, die zweite schadet, der Tod ist die dritte.« Möller aber sagte zu ihnen, diese Übersetzung könne unmöglich die rechte sein, da sie die dritte Nuß längst genossen und doch noch frisch und gesund seien; sie möchten sich eines Bessern besinnen. Kaum waren diese Worte gesprochen, als der Alchimist mit Bestürzung plötzlich vom Tische aufsprang und sich in der ihm angewiesenen Stube verschloß, worüber alle Anwesende in nicht geringer Verwunderung waren. Der jüngste Sohn des Bürgermeisters folgte dem Fremden, um ihn auf Befehl seines Vaters zu fragen, ob ihm etwas zugestoßen sei; da er aber die Türe verschlossen fand, sah er durch das Schlüsselloch den Fremden auf den Knieen liegen und unter Tränen und Händeringen mehrere Male ausrufen: »Ah, mon Dieu, mon Dieu!«",extern,
Clemens Brentano,Die drei Nüsse,"Kaum hatte der Knabe seinem Vater dies hinterbracht, als der Fremde sich von dem Diener zu einer einsamen Unterredung melden ließ. Alle entfernten sich. Da trat der Alchimist herein, fiel auf die Kniee, umfaßte die Füße des Bürgermeisters und flehte ihn unter heftigen Tränen an: er möge ihn nicht vor Gericht bringen, er möge ihn vor einem schmählichen Tode erretten.",extern,
Jean Paul ,Die wunderbare Gesellschaft in der Neujahrsnacht,"Wir haben alle schon verdrüßliche Geschichten gelesen, die uns mit der lieblichsten Irrhöhle voll Verwicklungen bezauberten und ängstigten und uns unruhig nach einem hellen Ausgang bogenlang herumgreifen ließen, bis endlich die unerwartete Zeile »als ich erwachte« uns die ganze Höhle unter den Füßen wegzog. Bei dem zweiten Lesen fanden wir dann alles durchsichtig und hell und waren nicht mehr zu peinigen. Eine solche trockne Historie ist gottlob meine von der wunderbaren Nacht-Gesellschaft nicht; ich war leider bei der Erscheinung derselben so wach als jetzt und saß am Fenster.",intern,
Jean Paul ,Die wunderbare Gesellschaft in der Neujahrsnacht,"Vorher muß sich der Leser einige Personalien von mir gefallen lassen, damit mein erbärmliches Benehmen gegen die Nacht-Sozietät, das meinen Mut mehr verbirgt als zeigt, zu erklären ist. – Nachmittags am Valettage des ein Jahr lang sterbenden Säkulums ging ich von 3 bis 8 Uhr nachdenkend in meinem Schreibzimmer auf und ab, weil ich vor Migräne nichts schreiben konnte; und hatte besonders über den unabsehlich-langen, um die Erde kriechenden Strom der künftigen Zeit meine schwermütigen Gedanken, wovon ich am Neujahrstage die besten ausklauben und niederschreiben wollte für dieses Werkchen. In die hinter fünf, sechs Jahrtausenden liegende Vergangenheit zurückzuschauen, gibt uns mutige Jugend-Gefühle; sie kommt uns als unsere antizipierte Kindheit vor; hingegen vorauszublicken weit über unsern letzten Tag hinweg und unzählige Jahrtausende herziehen zu sehen, die unsern bemooseten Spiel- und Begräbnisplatz immer höher überschneien und auf uns neue Städte und Gärten und auf diese wieder neuere und so ungemessen fort aufschlichten, dieses ewige, immer tiefere Eingraben und Überbauen verfinstert und belastet uns das freie Herz. Dadurch verdorret uns die Gegenwart zur Vergangenheit, und sie wird von totem Schimmel traurig überzogen. Der Geist des Menschen hasset nach seiner Natur die Veränderung, erstlich weil er sie außer sich nur bei großen Schritten und nie in ihrem ewigen Schleichen wahrnimmt, und zweitens weil er sie in sich weniger merkt, wo er der unveränderliche Schöpfer seiner eignen ist; dem Regenbogen und Lauffeuer in und außer sich sieht er nicht an, daß immer nur neue Tropfen und neue Funken sie bilden.",intern,
Franz Grillparzer ,Das Kloster bei Sendomir,"Die Strahlen der untergehenden Sonne vergoldeten die Abhänge eines der reizendsten Täler der Woiwodschaft Sendomir. Wie zum Scheidegruß ruhten sie auf den Mauern des an der Ostseite fensterreich und wohnlich prangenden Klosters, als eben zwei Reiter, von wenigen Dienern begleitet, den Saum der gegenüberliegenden Hügelkette erreichten und, von der Vesperglocke gemahnt, nach kurzem, betrachtendem Verweilen ihre Pferde in schärfern Trott setzten, taleinwärts, dem Kloster zu.",null,
Franz Grillparzer ,Das Kloster bei Sendomir,"Die Kleidung der späten Gäste bezeichnete die Fremden. Breitgedrückte, befiederte Hüte, das Elenkoller vom dunkeln Brustharnisch gedrückt, die straffanliegenden Unterkleider und hohen Stulpstiefel erlaubten nicht, sie für eingeborne Polen zu halten. Und so war es auch. Als Boten des deutschen Kaisers zogen sie, selbst Deutsche, an den Hof des kriegerischen Johann Sobiesky, und vom Abend überrascht, suchten sie Nachtlager in dem vor ihnen liegenden Kloster.",null,
Eduard Mörike ,Lucie Gelmeroth,"Ich wollte – so erzählt ein deutscher Gelehrter in seinen noch ungedruckten Denkwürdigkeiten – als Göttinger Student auf einer Ferienreise auch meine Geburtsstadt einmal wieder besuchen, die ich seit lange nicht gesehen hatte. Mein verstorbener Vater war Arzt daselbst gewesen. Tausend Erinnerungen, und immer gedrängter, je näher ich der Stadt nun kam, belebten sich vor meiner Seele. Die Postkutsche rollte endlich durch’s Thor, mein Herz schlug heftiger, und mit taumligem Blick sah ich Häuser, Plätze und Alleen an mir vorübergleiten. Wir fuhren um die Mittagszeit bei’m Gasthofe an, ich speis’te an der öffentlichen Tafel, wo mich, so wie zu hoffen war, kein Mensch erkannte.",intern,
Eduard Mörike ,Lucie Gelmeroth,"Über dem Essen kamen nur Dinge zur Sprache, die mir ganz gleichgültig waren, und ich theilte daher in der Stille die Stunden des übrigen Tags für mich ein. Ich wollte nach Tische die nöthigsten Besuche schnell abthun, dann aber möglichst unbeschrien und einsam die alten Pfade der Kindheit beschleichen.",intern,
Adalbert Stifter ,Der Condor,"Um zwei Uhr einer schönen Junimondnacht ging ein Kater längs des Dachfirstes und schaute in den Mond. Das eine seiner Augen, von dem Strahle des Nachtgestirnes schräg getroffen, erglänzte wie ein grüner Irrwisch, das andere war schwarz wie Küchenpech, und so glotzte er zuletzt, am Ende der Dachkante ankommend, bei einem Fenster hinein – und ich heraus. Die großen, freundlichen Räder seiner Augen auf mich heftend, schien er befremdlich fragen zu wollen: »Was ist denn das, du lieber, alter Spiel- und Stubengenosse, daß du heute in die späte Nacht dein Gesicht zum Fenster hinaushältst, das sonst immer rot und gesund auf dem weißen Kissen lag und ruhig schlummerte, wenn ich bei meinen Nachtgängen gelegentlich vorbeikam und hineinschaute?«",intern,
Adalbert Stifter ,Der Condor,"»Ei, Trauter«, erwiderte ich ihm auf die stumme Frage, »die Zeiten haben sich nun einmal sehr geändert, das siehst du; – die weißen Kissen liegen unzerknittert dort auf dem Bettgestelle, und der Vollmond malt die lieblich flirrenden Fensterscheiben darauf, statt daß er in mein schlummerndes Angesicht schiene, welches Gesicht ich dafür da am Simse in die Nacht hinaushalten muß, um damit schon durch drei Vierteile derselben auf den Himmel zu schauen; denn an demselben wird heute das seltenste und tollste Gestirn emporsteigen, was er je gesehen. Es wird zwar nicht leuchten, aber wenn nach Verdienst gerichtet würde, so ist etwas in ihm, das strahlenreicher ist, als der Mond und alle Sterne zusammengerechnet, deine glänzenden Augen nicht ausgenommen, Verehrtester.«",intern,
Theodor Storm ,Bulemanns Haus,"In einer norddeutschen Seestadt, in der sogenannten Düsternstraße, steht ein altes verfallenes Haus. Es ist nur schmal, aber drei Stockwerke hoch; in der Mitte desselben, vom Boden bis fast in die Spitze des Giebels, springt die Mauer in einem erkerartigen Ausbau vor, welcher für jedes Stockwerk nach vorne und an den Seiten mit Fenstern versehen ist, so daß in hellen Nächten der Mond hindurchscheinen kann.",null,
Theodor Storm ,Bulemanns Haus,"Seit Menschengedenken ist niemand in dieses Haus hinein- und niemand herausgegangen; der schwere Messingklopfer an der Haustür ist fast schwarz von Grünspan, zwischen den Ritzen der Treppensteine wächst jahraus jahrein das Gras. – Wenn ein Fremder fragt: »Was ist denn das für ein Haus?« so erhält er gewiß zur Antwort: »Es ist Bulemanns Haus«; wenn er aber weiter fragt: »Wer wohnt denn darin?« so antworten sie ebenso gewiß: »Es wohnt so niemand darin.« Die Kinder auf den Straßen und die Ammen an der Wiege singen:",null,
Joseph von Eichendorff ,Auch ich war in Arkadien,"Da säß’ ich denn glücklich wieder hinter meinem Pulte, um dir meinen Reisebericht abzustatten. Es ist mir aber auf dieser Reise so viel Wunderliches begegnet, daß ich in der Tat nicht recht weiß, wo ich anfangen soll. Am besten, ich hebe, wie die Rosine aus dem Kuchen, ohne weiteres sogleich das Hauptabenteuer für dich aus.",intern,
Joseph von Eichendorff ,Auch ich war in Arkadien,"Du weißt, ich lebte seit langer Zeit fast wie ein Einsiedler und habe von der Welt und ihrer Julirevolution leider wenig Notiz genommen. Als ich meinen letzten Ausflug machte, war eben die Deutschheit aufgekommen und stand in ihrer dicksten Blüte. Ich kehrte daher auch diesmal nach Möglichkeit das Deutsche heraus, ja ich hatte mein gescheiteltes Haar, wie Albrecht Dürer, schlicht herabwachsen lassen und mir bei meinem Schneider, nicht ohne gründliche historische Vorstudien, einen gewissen germanischen Reiseschnitt besonders bestellt. Aber da kam ich gut an! Schon auf dem Postwagen – dieser fliegenden Universität –, in den nächsten Kaffeehäusern, Konditoreien und Tabagien konnte ich mit ebensoviel Erstaunen als Beschämung gewahr werden, wie weit ich in der Kultur zurück war.",intern,
Karl Emil Franzos ,»Baron Schmule«,"Wenn man aus Barnow nach Süden fährt, in die Bukowina oder in die Moldau, so sieht man nach etwa drei Stunden, dort, wo die Straße bei Z. den Dniester überschreitet, auf einem Hügel ein stolzes Schloß liegen, mit hohen weißen Mauern und blinkenden Fenstern. Ein prächtiger Garten umgiebt es und zieht sich den Hügel hinab und weit in die Ebene hinein. Das ist vielleicht der schönste Herrensitz in Podolien und sicherlich der reichste. Er gehört dem »Baron Schmule«, wie er überall genannt wird, dem Manne, der einst Schmule Runnstein geheißen hat und jetzt der mächtige Freiherr Sigismund von Ronnicki ist.",null,
Karl Emil Franzos ,»Baron Schmule«,"Der Mann hat einen großen Weg gemacht, er ist wie ein Pfeil nach seinem Ziele geschossen. Das gelingt nur wenigen Menschen; denn die meisten sind wie ein Kreisel, sie bewegen sich viel, laut und rasch, aber sie drehen sich immer um sich selbst herum und kommen nicht von der Stelle. Der Pfeil macht nicht mehr, nicht lautere, nicht raschere Bewegung, aber er schießt immer auf sein Ziel los. So Baron Schmule. Er hat sein Ziel fest ins Auge gefaßt und ist sicher darauf zugeschritten, obwohl er nur – ein Auge hatte.",null,
Gottfried Keller ,Der Narr auf Manegg,"Einige Zeit nach dem Spaziergange, den Herr Jacques mit seinem Paten gemacht, wunderte es diesen, wie es dem jungen Adepten des Originalwesens ergehe und welche Fortschritte er darin zurückgelegt habe. An einem schönen Septembertage ging er darum in das Haus der Gevattersleute, um seinen Jungpaten heimzusuchen und etwa zu einem Gang vor das Thor einzuladen. Nur mit halbsäuerlicher Höflichkeit wurde er hiefür empfangen; denn man hielt ihn trotz seiner weißen Haare und seines gewaltigen Jabots für einen jener frondierenden Herren, welche, stets kühl gegen die Kirche und kritisch gegen die Staatsbehörden, sich zwar wohl hüten, irgendwo an einer praktischen Thätigkeit wirklichen Anteil zu nehmen, nichts desto weniger aber einer radikalen, wo nicht frivolen Gesinnung bezichtigt werden, einer Gesinnung, vor deren Einfluß besonders die Jugend zu bewahren sei.",intern,
Gottfried Keller ,Der Narr auf Manegg,"Der alte Herr ließ sich aber nicht abschrecken, seinen Taufschützling selbst aufzusuchen, und fand denselben im obersten Stockwerk des Hauses in seinem Sommerquartier, einer großen geweißten Kammer, deren hohe Fenster noch aus unzähligen runden Scheiben zusammengesetzt waren. In diesem Gemache standen die ältesten Schränke des Hauses, nicht etwa die schönen Nußbaumschränke, welche die Vorsäle der untern Gemächer zierten, sondern uralte, baufällige Kasten von Fichtenholz, mit Blumen und Vögeln bemalt. Von der Decke hingen verschollene Zierstücke, große Glaskugeln, die inwendig mit bunten Ausschnittbildern, Damen in Reifröcken, Jägern, Hirschen u.dgl., beklebt und mit einem weißen Gipsgrunde ausgegossen waren, so daß sie bemaltem Porzellane glichen. Auch prangten an den Wänden einige Familienbildnisse, welche wegen zu schlechter Arbeit aus den Wohnräumen verbannt worden. Ihre Gesichter lächelten alle ohne andere Ursache, als weil die Maler die Mundwinkel mit angewöhntem, eisernem Schnörkel so zu formen gezwungen waren. Diese grundlose Heiterkeit der verjährten Gesellschaft machte fast einen unheimlichen Eindruck. Die guten Maler und die Vorfahren schienen nicht immer gleichzeitig geraten zu sein. Dazwischen hingen wunderliche Bilder, die mit Harzfarben unmittelbar auf die Rückseite von Glastafeln gemalt waren, und vergilbte Kupferstiche, welche Prospekte zürcherischer Staatsceremonieen oder militärischer Schauspiele zum Gegenstand hatten. Seltsamer Weise war hier noch ein kleines Rähmlein versteckt mit längst gesprungenem Glase und einem gestochenen Bildnisse Karls I. dahinter; mit verblichener Tinte war darauf geschrieben:",null,
Conrad Ferdinand Meyer ,Plautus im Nonnenkloster,"Nach einem heißen Sommertage hatte sich vor einem Casino der mediceischen Gärten zum Genusse der Abendkühle eine Gesellschaft gebildeter Florentiner um Cosmus Medici, den »Vater des Vaterlandes«, versammelt. Der reinste Abendhimmel dämmerte in prächtigen, aber zart abgestuften Farben über den mäßig Zechenden, unter welchen sich ein scharf geschnittener, greiser Kopf auszeichnete, an dessen beredten Lippen die Aufmerksamkeit der lauschenden Runde hing. Der Ausdruck dieses geistreichen Kopfes war ein seltsam gemischter: über die Heiterkeit der Stirn, die lächelnden Mundwinkel war der Schatten eines trüben Erlebnisses geworfen.",extern,
Conrad Ferdinand Meyer ,Plautus im Nonnenkloster,"»Mein Poggio«, sagte nach einer eingetretenen Pause Cosmus Medici mit den klugen Augen in dem häßlichen Gesichte, »neulich habe ich das Büchlein deiner Fazetien wieder durchblättert. Freilich weiß ich es auswendig, und dieses mußte ich bedauern, da ich nur noch an den schlanken Wendungen einer glücklichen Form mich ergötzen, aber weder Neugierde noch Überraschung mehr empfinden konnte. Es ist unmöglich, daß du nicht, wählerisch wie du bist, diese oder jene deiner witzigen und liebenswürdigen Possen, sei es als nicht gesalzen genug oder als zu gesalzen, von der anerkannten Ausgabe des Büchleins ausgeschlossen hast. Besinne dich! Gib diesem Freundeskreise, wo die leiseste Anspielung verstanden und der keckste Scherz verziehen wird, eine Facezia inedita zum besten. Erzählend und schlürfend« – er deutete auf den Becher – »wirst du dein Leid vergessen!«",extern,
